genename	familyname
Bradi4g01140	C2C2-GATA
Bradi1g10370	MYB-related
Bradi3g50930	GRAS
Bradi4g16450	GRF
Bradi2g07677	MYB
Bradi2g11540	Homeobox
Bradi1g26920	MYB
Bradi3g12910	ABI3-VP1
Bradi5g18520	Orphans
Bradi3g50630	AP2-EREBP
Bradi1g53650	AP2-EREBP
Bradi2g11100	bHLH
Bradi4g30370	WRKY
Bradi3g51960	MYB-related
Bradi3g06160	bZIP
Bradi1g09900	GRF
Bradi3g37040	ZF-HD
Bradi2g45117	GRAS
Bradi4g40940	MADS
Bradi5g16270	TCP
Bradi1g37480	C2C2-GATA
Bradi5g20290	WRKY
Bradi3g45902	C3H
Bradi5g02880	TCP
Bradi2g37130	C2C2-Dof
Bradi1g13650	Orphans
Bradi3g24000	AP2-EREBP
Bradi3g13117	NAC
Bradi1g75507	PHD
Bradi2g14600	JUMONJI
Bradi5g17570	Homeobox
Bradi1g51040	WHIRLY
Bradi3g16377	C3H
Bradi2g21380	bZIP
Bradi1g08106	WRKY
Bradi1g64687	MYB
Bradi1g43480	CCAAT
Bradi4g07717	Orphans
Bradi3g57000	C2C2-CO-like
Bradi4g09170	GRAS
Bradi3g54160	AP2-EREBP
Bradi1g54450	AP2-EREBP
Bradi1g44520	E2F-DP
Bradi1g78540	C2C2-GATA
Bradi4g43937	MYB
Bradi2g52860	bZIP
Bradi1g03880	AP2-EREBP
Bradi5g04817	WRKY
Bradi4g24100	NAC
Bradi1g45120	Orphans
Bradi1g36540	MYB-related
Bradi3g05577	bZIP
Bradi1g49560	AP2-EREBP
Bradi4g35670	TCP
Bradi2g53070	AP2-EREBP
Bradi2g15940	bZIP
Bradi3g17790	CCAAT
Bradi3g53270	ARID
Bradi5g14280	Orphans
Bradi2g51727	Orphans
Bradi1g03020	C2C2-GATA
Bradi1g36236	G2-like
Bradi1g38730	NAC
Bradi2g59127	Orphans
Bradi3g47847	ABI3-VP1
Bradi1g45170	NLP
Bradi1g63530	G2-like
Bradi2g04000	AP2-EREBP
Bradi4g27720	bZIP
Bradi3g05510	SBP
Bradi2g54940	Homeobox
Bradi2g55797	MYB-related
Bradi1g43650	bHLH
Bradi1g55630	HSF
Bradi1g25400	CCAAT
Bradi3g50166	Orphans
Bradi2g06790	bZIP
Bradi3g23180	ZIM
Bradi4g44370	WRKY
Bradi4g01950	WRKY
Bradi1g16355	MYB-related
Bradi2g45900	WRKY
Bradi2g59937	Homeobox
Bradi3g41250	SBP
Bradi4g30227	ZF-HD
Bradi5g25090	Orphans
Bradi4g07470	ARF
Bradi2g55780	NAC
Bradi1g48770	WRKY
Bradi4g23550	C2C2-GATA
Bradi1g09130	Orphans
Bradi2g24170	AP2-EREBP
Bradi5g19190	GRAS
Bradi5g20847	Trihelix
Bradi1g10390	CCAAT
Bradi1g05550	HSF
Bradi2g08287	G2-like
Bradi1g10660	Orphans
Bradi3g60350	TCP
Bradi2g15360	WRKY
Bradi5g25860	Orphans
Bradi1g63690	G2-like
Bradi1g58100	MADS
Bradi2g44090	WRKY
Bradi1g46100	bHLH
Bradi2g45770	MYB-related
Bradi2g60340	AP2-EREBP
Bradi1g64240	AP2-EREBP
Bradi1g10170	bHLH
Bradi1g69617	NAC
Bradi4g43850	bZIP
Bradi1g34340	ARF
Bradi5g16707	MYB
Bradi4g07110	MYB
Bradi1g64800	C3H
Bradi4g29700	G2-like
Bradi3g10820	ZIM
Bradi5g03730	Orphans
Bradi2g47887	MYB
Bradi2g23710	MYB-related
Bradi3g37397	ARID
Bradi4g02950	ABI3-VP1
Bradi4g43020	NAC
Bradi1g29857	NAC
Bradi1g05037	bHLH
Bradi2g15405	WRKY
Bradi2g06890	TCP
Bradi2g59187	MADS
Bradi3g56400	CCAAT
Bradi5g17080	Orphans
Bradi3g28950	ARF
Bradi2g16610	ARF
Bradi3g46210	Trihelix
Bradi2g60750	GRAS
Bradi1g07600	C2C2-Dof
Bradi4g38527	CCAAT
Bradi5g16672	MYB
Bradi2g18570	AP2-EREBP
Bradi2g46980	NAC
Bradi1g18770	Orphans
Bradi2g49490	Orphans
Bradi3g56080	NAC
Bradi3g52837	ZF-HD
Bradi1g16720	Orphans
Bradi3g06470	MYB
Bradi5g13650	Orphans
Bradi1g69480	ARR-B
Bradi4g24937	bZIP
Bradi1g35550	bZIP
Bradi5g17057	C2C2-GATA
Bradi2g14130	C3H
Bradi4g30220	MYB
Bradi2g16647	Homeobox
Bradi2g36730	MYB
Bradi4g00920	bHLH
Bradi2g31710	NLP
Bradi4g16020	JUMONJI
Bradi1g08690	PHD
Bradi1g29167	PHD
Bradi2g40700	PHD
Bradi2g40677	JUMONJI
Bradi1g16820	PHD
Bradi2g31107	JUMONJI
Bradi2g16357	WRKY
Bradi2g14220	Orphans
Bradi1g17420	Homeobox
Bradi3g45130	E2F-DP
Bradi3g34567	WRKY
Bradi4g35580	AP2-EREBP
Bradi2g55567	bZIP
Bradi1g63840	bZIP
Bradi2g01960	MYB
Bradi4g35630	AP2-EREBP
Bradi2g54200	CCAAT
Bradi1g19702	bZIP
Bradi2g54590	Homeobox
Bradi2g57940	GRAS
Bradi4g40880	NAC
Bradi3g57807	Orphans
Bradi4g32470	bHLH
Bradi1g51730	ABI3-VP1
Bradi5g17600	MYB
Bradi2g59497	bHLH
Bradi1g38110	AP2-EREBP
Bradi3g48697	AP2-EREBP
Bradi1g57970	AP2-EREBP
Bradi3g03800	ZIM
Bradi3g42627	AP2-EREBP
Bradi3g37700	NLP
Bradi1g21740	Alfin-like
Bradi2g62067	G2-like
Bradi1g72590	ZIM
Bradi1g77217	NAC
Bradi2g06210	Homeobox
Bradi2g45780	MYB-related
Bradi3g05260	MADS
Bradi1g26570	C2C2-Dof
Bradi5g24670	SBP
Bradi3g22290	G2-like
Bradi1g47900	GRAS
Bradi2g10340	MYB
Bradi1g50057	NAC
Bradi2g59137	CAMTA
Bradi2g38230	Trihelix
Bradi3g32890	GRAS
Bradi5g13510	MYB-related
Bradi1g02760	SBP
Bradi2g55270	Homeobox
Bradi3g33400	MYB-related
Bradi5g19950	bHLH
Bradi3g52880	C2C2-Dof
Bradi1g07260	MYB
Bradi4g26180	MYB
Bradi3g02730	bZIP
Bradi1g15480	MADS
Bradi5g13900	Trihelix
Bradi3g38430	ZF-HD
Bradi1g16120	WRKY
Bradi2g43340	CPP
Bradi2g22230	WRKY
Bradi1g59250	MADS
Bradi3g16340	G2-like
Bradi2g47590	MYB
Bradi1g60530	ABI3-VP1
Bradi3g29700	Orphans
Bradi1g30730	Homeobox
Bradi2g46230	Homeobox
Bradi1g57410	MADS
Bradi3g46900	NAC
Bradi3g27690	AP2-EREBP
Bradi1g23090	HRT
Bradi2g49860	HSF
Bradi3g37067	NAC
Bradi3g34670	CPP
Bradi2g52227	GRAS
Bradi4g40270	ZF-HD
Bradi3g30457	Trihelix
Bradi3g36740	MYB
Bradi3g38600	Homeobox
Bradi2g62130	WRKY
Bradi4g01770	MYB-related
Bradi5g16450	AP2-EREBP
Bradi1g62220	Orphans
Bradi4g04260	C2C2-Dof
Bradi3g09670	bHLH
Bradi3g19927	Homeobox
Bradi2g20760	GRAS
Bradi5g25340	C3H
Bradi2g50070	VOZ
Bradi3g39927	bHLH
Bradi1g15420	C2C2-Dof
Bradi2g45750	C2C2-GATA
Bradi2g55980	C2C2-Dof
Bradi1g25370	GRAS
Bradi3g45370	bHLH
Bradi4g01730	ARF
Bradi1g43460	CCAAT
Bradi4g43200	GRAS
Bradi2g09530	NAC
Bradi2g34600	bHLH
Bradi3g45230	Trihelix
Bradi3g21480	Homeobox
Bradi1g49630	GRAS
Bradi4g03620	NAC
Bradi1g51960	MYB-related
Bradi5g10370	Homeobox
Bradi3g45896	C3H
Bradi2g50120	ARF
Bradi3g49190	MYB
Bradi1g21900	CCAAT
Bradi3g34160	Orphans
Bradi2g10830	bZIP
Bradi3g27520	E2F-DP
Bradi1g14550	ABI3-VP1
Bradi5g00700	Orphans
Bradi3g41297	MADS
Bradi1g03710	C2C2-Dof
Bradi5g24080	Homeobox
Bradi1g58490	ZIM
Bradi3g52420	WRKY
Bradi1g12620	bZIP
Bradi1g20250	MYB
Bradi1g33550	AP2-EREBP
Bradi2g33307	NAC
Bradi4g42050	E2F-DP
Bradi1g30252	MYB
Bradi2g38247	C3H
Bradi1g76690	bZIP
Bradi2g41977	Orphans
Bradi2g18530	WRKY
Bradi1g29920	bZIP
Bradi4g44342	WRKY
Bradi1g25230	bHLH
Bradi1g67980	CCAAT
Bradi4g02680	WRKY
Bradi3g42350	MYB
Bradi2g02810	MYB-related
Bradi1g34840	MYB-related
Bradi2g43600	C3H
Bradi2g16120	MYB-related
Bradi3g54120	ARR-B
Bradi3g52150	bHLH
Bradi3g26990	Orphans
Bradi3g33670	AP2-EREBP
Bradi1g12677	Homeobox
Bradi3g09520	NAC
Bradi3g12565	AP2-EREBP
Bradi2g38390	Homeobox
Bradi1g24887	MYB
Bradi1g22680	WRKY
Bradi4g25170	ABI3-VP1
Bradi4g29010	AP2-EREBP
Bradi1g31837	G2-like
Bradi3g37047	MYB
Bradi4g29617	JUMONJI
Bradi2g57020	PHD
Bradi4g14610	PHD
Bradi4g26730	PHD
Bradi1g12510	Homeobox
Bradi2g56070	TUB
Bradi3g39280	CCAAT
Bradi5g21250	AP2-EREBP
Bradi4g02460	Orphans
Bradi3g59320	TCP
Bradi3g52547	GRF
Bradi4g41230	MYB-related
Bradi1g27170	CAMTA
Bradi4g19577	bHLH
Bradi2g33650	G2-like
Bradi4g44360	WRKY
Bradi1g24310	GRAS
Bradi4g32650	bHLH
Bradi4g26627	Orphans
Bradi3g19640	WRKY
Bradi1g09615	Homeobox
Bradi3g59300	AP2-EREBP
Bradi5g11247	NAC
Bradi1g78440	Orphans
Bradi3g54070	bHLH
Bradi3g25670	C2C2-Dof
Bradi4g26800	G2-like
Bradi1g32330	MYB-related
Bradi3g15327	Homeobox
Bradi1g22600	Orphans
Bradi2g44520	MYB-related
Bradi2g38380	bZIP
Bradi4g18900	SBP
Bradi3g41817	bZIP
Bradi5g01257	GeBP
Bradi2g31887	MYB
Bradi2g11400	G2-like
Bradi5g17170	Homeobox
Bradi2g06370	Orphans
Bradi5g21950	bHLH
Bradi3g41543	AP2-EREBP
Bradi4g20730	NLP
Bradi3g36380	ZIM
Bradi4g33820	MYB-related
Bradi1g17660	WRKY
Bradi4g44090	GRAS
Bradi2g50540	CPP
Bradi2g60050	CCAAT
Bradi1g57870	MADS
Bradi1g35587	ABI3-VP1
Bradi4g22680	NAC
Bradi2g19820	VOZ
Bradi4g32580	ZF-HD
Bradi1g50597	GRF
Bradi3g14480	C3H
Bradi3g30410	C2C2-YABBY
Bradi3g27760	ARID
Bradi3g13960	Orphans
Bradi5g17630	AP2-EREBP
Bradi1g49570	AP2-EREBP
Bradi1g07290	AP2-EREBP
Bradi2g22010	GRAS
Bradi2g58770	C3H
Bradi1g73710	C2C2-Dof
Bradi4g37327	NAC
Bradi1g09960	bHLH
Bradi2g37387	ABI3-VP1
Bradi5g17150	Trihelix
Bradi4g22637	MYB
Bradi4g35950	Orphans
Bradi4g06317	MYB
Bradi4g31840	GeBP
Bradi3g38360	bHLH
Bradi3g08870	HSF
Bradi2g52380	AP2-EREBP
Bradi3g50067	NAC
Bradi2g54260	Orphans
Bradi4g11097	MADS
Bradi2g04590	bZIP
Bradi3g57267	GRF
Bradi1g07310	bZIP
Bradi4g09180	GRAS
Bradi1g20090	MADS
Bradi5g15230	NAC
Bradi3g22297	G2-like
Bradi3g56490	C2C2-CO-like
Bradi2g07357	AP2-EREBP
Bradi3g41930	bHLH
Bradi2g55550	bZIP
Bradi3g16515	MYB-related
Bradi3g38980	C2C2-Dof
Bradi3g33170	bHLH
Bradi1g46120	AP2-EREBP
Bradi3g23190	ZIM
Bradi2g08905	C3H
Bradi3g49987	MYB
Bradi3g36610	bHLH
Bradi3g02780	Alfin-like
Bradi5g17395	WRKY
Bradi1g10610	ZF-HD
Bradi2g44770	MYB
Bradi3g03538	G2-like
Bradi3g07540	bZIP
Bradi1g58817	Homeobox
Bradi4g09190	GRAS
Bradi4g21160	ZF-HD
Bradi4g44000	NAC
Bradi3g40860	bHLH
Bradi3g26920	HSF
Bradi3g57320	CCAAT
Bradi3g04410	AP2-EREBP
Bradi4g09970	Orphans
Bradi1g47367	Orphans
Bradi1g76970	Homeobox
Bradi1g11760	C3H
Bradi3g34410	Homeobox
Bradi3g44690	Orphans
Bradi4g18390	GRAS
Bradi1g04510	bZIP
Bradi1g04150	NAC
Bradi2g23890	bZIP
Bradi1g04280	bHLH
Bradi1g33980	ZIM
Bradi5g14960	AP2-EREBP
Bradi2g61630	AP2-EREBP
Bradi2g05280	CCAAT
Bradi2g41670	bHLH
Bradi1g01650	NAC
Bradi2g48597	ABI3-VP1
Bradi1g08890	HSF
Bradi3g41500	Orphans
Bradi1g67910	MYB-related
Bradi1g57070	C2C2-YABBY
Bradi4g21800	PHD
Bradi5g10440	PHD
Bradi1g60740	JUMONJI
Bradi5g11130	PHD
Bradi4g39130	JUMONJI
Bradi3g13210	PHD
Bradi4g07957	PHD
Bradi2g07082	PHD
Bradi3g49810	AP2-EREBP
Bradi1g74070	Orphans
Bradi3g57640	GeBP
Bradi4g24060	NAC
Bradi1g17650	Orphans
Bradi1g25470	bHLH
Bradi3g13080	TUB
Bradi1g28400	GRF
Bradi3g03407	ARF
Bradi1g71990	bHLH
Bradi1g14300	WRKY
Bradi2g26987	AP2-EREBP
Bradi2g54030	bHLH
Bradi2g30800	WRKY
Bradi3g38840	bZIP
Bradi3g32040	Homeobox
Bradi3g54817	NAC
Bradi1g52480	NAC
Bradi3g49180	MYB
Bradi2g19867	ARF
Bradi1g07630	G2-like
Bradi1g11200	GeBP
Bradi5g22745	Orphans
Bradi4g06567	bHLH
Bradi3g57017	MADS
Bradi4g34800	NAC
Bradi4g27100	bZIP
Bradi3g58980	AP2-EREBP
Bradi2g32910	MADS
Bradi4g04050	MYB
Bradi3g50620	AP2-EREBP
Bradi4g22130	bZIP
Bradi3g51685	GRF
Bradi2g53390	Homeobox
Bradi2g49020	WRKY
Bradi1g69407	HSF
Bradi5g21700	MADS
Bradi5g15760	MYB
Bradi1g24050	C2C2-YABBY
Bradi1g00220	GRAS
Bradi4g35650	AP2-EREBP
Bradi3g56380	C2C2-Dof
Bradi5g20397	bHLH
Bradi3g46690	EIL
Bradi3g01377	MYB
Bradi3g03970	Homeobox
Bradi1g10047	Homeobox
Bradi4g22730	MYB
Bradi2g44050	HSF
Bradi2g10640	C2C2-Dof
Bradi3g03810	ZIM
Bradi3g28290	Orphans
Bradi2g38560	MYB
Bradi1g14510	ABI3-VP1
Bradi3g12490	C2H2
Bradi5g00487	GeBP
Bradi2g48130	AP2-EREBP
Bradi2g31600	Homeobox
Bradi1g32547	ARF
Bradi1g15123	GRAS
Bradi3g16500	ABI3-VP1
Bradi4g00380	ABI3-VP1
Bradi4g06690	WRKY
Bradi3g34850	WRKY
Bradi3g08790	AP2-EREBP
Bradi1g20540	MYB
Bradi5g18640	C2C2-Dof
Bradi5g12407	NAC
Bradi1g47400	ARR-B
Bradi2g46350	TUB
Bradi1g60030	CCAAT
Bradi3g38807	MYB
Bradi4g35370	bZIP
Bradi5g12170	ARR-B
Bradi1g76940	Homeobox
Bradi3g52767	TUB
Bradi1g30000	bHLH
Bradi2g62510	MYB
Bradi2g00280	WRKY
Bradi1g46427	GRF
Bradi4g09160	GRAS
Bradi3g36260	G2-like
Bradi2g21067	AP2-EREBP
Bradi1g10330	GRAS
Bradi1g45620	Orphans
Bradi4g40357	MADS
Bradi3g33355	AP2-EREBP
Bradi2g24400	MYB
Bradi2g46300	C2C2-Dof
Bradi1g60140	GRAS
Bradi5g19980	Orphans
Bradi3g06562	AP2-EREBP
Bradi3g36660	MYB
Bradi3g56260	C2C2-CO-like
Bradi5g07720	bHLH
Bradi2g46020	NAC
Bradi3g14830	MYB-related
Bradi2g45480	WRKY
Bradi2g08620	WRKY
Bradi3g56180	Homeobox
Bradi3g09810	WRKY
Bradi3g52260	MYB
Bradi1g55427	bHLH
Bradi3g20610	GeBP
Bradi1g07510	G2-like
Bradi1g63910	WRKY
Bradi2g16780	Trihelix
Bradi3g46910	MYB
Bradi1g18407	Orphans
Bradi3g07480	Orphans
Bradi1g14910	Orphans
Bradi1g06970	NAC
Bradi1g18380	TUB
Bradi1g30337	AP2-EREBP
Bradi1g72990	AP2-EREBP
Bradi3g47610	AP2-EREBP
Bradi1g77610	Trihelix
Bradi1g09550	ZIM
Bradi3g48447	C2C2-CO-like
Bradi3g08570	Homeobox
Bradi3g15590	bZIP
Bradi3g17810	CCAAT
Bradi5g24720	AP2-EREBP
Bradi3g10540	NAC
Bradi1g69150	Homeobox
Bradi4g25717	WRKY
Bradi2g14320	GRF
Bradi3g19010	Orphans
Bradi1g13207	WRKY
Bradi3g51540	Homeobox
Bradi5g18767	Orphans
Bradi2g40920	NLP
Bradi2g14927	ZF-HD
Bradi5g17480	AP2-EREBP
Bradi2g53520	WRKY
Bradi1g14500	ABI3-VP1
Bradi4g26600	NAC
Bradi4g21040	Alfin-like
Bradi2g22810	bHLH
Bradi3g57960	bZIP
Bradi3g33440	MYB-related
Bradi4g09155	GRAS
Bradi3g37377	ARID
Bradi1g47350	bHLH
Bradi3g05500	G2-like
Bradi1g34270	Orphans
Bradi5g13041	MYB
Bradi4g36077	Orphans
Bradi4g29560	PHD
Bradi2g56710	PHD
Bradi2g61717	PHD
Bradi1g26940	PHD
Bradi1g47050	PHD
Bradi2g23520	bHLH
Bradi3g51410	G2-like
Bradi1g02327	WRKY
Bradi3g06670	bZIP
Bradi4g35520	TCP
Bradi2g36380	Orphans
Bradi4g38965	MYB
Bradi2g19480	C2C2-GATA
Bradi1g76207	NAC
Bradi3g59290	bHLH
Bradi3g50490	AP2-EREBP
Bradi1g71910	G2-like
Bradi5g08027	MADS
Bradi1g61477	GeBP
Bradi2g53500	WRKY
Bradi3g23370	Homeobox
Bradi2g21060	AP2-EREBP
Bradi3g24210	GRAS
Bradi2g62380	C2C2-Dof
Bradi2g17610	AP2-EREBP
Bradi2g08080	bHLH
Bradi2g19930	C2C2-Dof
Bradi2g59110	SBP
Bradi1g45807	MADS
Bradi2g56520	MYB
Bradi1g01130	HSF
Bradi4g29980	TCP
Bradi5g17370	C2C2-GATA
Bradi2g60554	ABI3-VP1
Bradi3g41940	bHLH
Bradi1g31337	AP2-EREBP
Bradi3g50050	C2C2-YABBY
Bradi3g49320	ARF
Bradi1g59180	WRKY
Bradi3g43250	bHLH
Bradi2g01000	bHLH
Bradi1g06460	TCP
Bradi1g74410	Orphans
Bradi3g07030	bZIP
Bradi5g01900	bHLH
Bradi4g32920	bZIP
Bradi2g56096	bZIP
Bradi3g15880	AP2-EREBP
Bradi2g60331	AP2-EREBP
Bradi5g15240	MYB-related
Bradi4g29380	Homeobox
Bradi1g46060	bZIP
Bradi2g11240	SBP
Bradi2g06330	MADS
Bradi2g43290	MADS
Bradi1g43670	Orphans
Bradi1g57560	AP2-EREBP
Bradi1g23370	C3H
Bradi2g23315	MYB-related
Bradi3g01540	bHLH
Bradi1g23340	WRKY
Bradi1g54690	bHLH
Bradi4g02390	CPP
Bradi3g00697	Trihelix
Bradi4g25020	Homeobox
Bradi2g23967	NAC
Bradi2g11170	WRKY
Bradi1g45470	AP2-EREBP
Bradi1g24270	C3H
Bradi1g51270	Homeobox
Bradi2g30695	WRKY
Bradi2g42870	MYB-related
Bradi3g09340	bZIP
Bradi1g07247	Homeobox
Bradi3g16480	NAC
Bradi2g29960	AP2-EREBP
Bradi4g21265	AP2-EREBP
Bradi2g27920	AP2-EREBP
Bradi3g58015	AP2-EREBP
Bradi2g49906	WRKY
Bradi3g06940	C3H
Bradi4g34022	NAC
Bradi5g18430	NLP
Bradi3g36820	AP2-EREBP
Bradi2g46190	ARF
Bradi1g37800	Homeobox
Bradi3g42130	HSF
Bradi1g55450	bZIP
Bradi1g38140	HSF
Bradi2g17280	MYB
Bradi3g16140	GeBP
Bradi2g48076	Orphans
Bradi2g39970	bHLH
Bradi1g13570	C2C2-YABBY
Bradi1g42040	Homeobox
Bradi2g55217	MYB-related
Bradi5g01250	GeBP
Bradi2g52160	Homeobox
Bradi1g48320	AP2-EREBP
Bradi1g64550	bZIP
Bradi3g00550	G2-like
Bradi3g38140	AP2-EREBP
Bradi1g23460	Homeobox
Bradi2g44540	ZF-HD
Bradi1g71740	AP2-EREBP
Bradi1g72150	MADS
Bradi2g08120	ARF
Bradi5g25767	ARF
Bradi1g65910	Orphans
Bradi4g32967	bHLH
Bradi3g17165	MYB
Bradi4g41820	TUB
Bradi2g34640	Alfin-like
Bradi2g52370	AP2-EREBP
Bradi4g33740	bZIP
Bradi1g38650	bHLH
Bradi4g04627	MYB
Bradi4g24550	TCP
Bradi3g01297	Orphans
Bradi2g32900	Orphans
Bradi3g52170	Orphans
Bradi3g51757	MYB-related
Bradi2g30530	MADS
Bradi1g20210	GeBP
Bradi1g66597	C2C2-Dof
Bradi2g25400	bZIP
Bradi1g34290	Orphans
Bradi3g23220	ZIM
Bradi1g18910	Orphans
Bradi1g48520	MADS
Bradi1g77150	ABI3-VP1
Bradi3g59380	NAC
Bradi1g27900	MADS
Bradi1g35030	Orphans
Bradi2g05500	WRKY
Bradi4g35400	bHLH
Bradi5g24110	AP2-EREBP
Bradi2g34670	MYB-related
Bradi5g19260	ABI3-VP1
Bradi4g16290	MYB
Bradi2g37377	MYB
Bradi4g35240	bZIP
Bradi1g58230	bHLH
Bradi3g06820	Orphans
Bradi3g57867	AP2-EREBP
Bradi2g59240	TCP
Bradi3g55350	Orphans
Bradi2g05320	PHD
Bradi1g55090	PHD
Bradi4g27417	JUMONJI
Bradi5g21150	PHD
Bradi1g62640	JUMONJI
Bradi3g55120	G2-like
Bradi3g43822	AP2-EREBP
Bradi1g32210	MADS
Bradi4g35600	AP2-EREBP
Bradi1g76100	Orphans
Bradi1g46247	Homeobox
Bradi2g00730	bHLH
Bradi4g19010	C3H
Bradi4g29990	bHLH
Bradi2g07980	ABI3-VP1
Bradi3g45880	ARF
Bradi2g16150	WRKY
Bradi5g27110	TUB
Bradi1g17700	bZIP
Bradi3g37544	AP2-EREBP
Bradi4g03160	G2-like
Bradi1g64140	MYB
Bradi2g25120	Alfin-like
Bradi1g45260	bHLH
Bradi3g05720	SBP
Bradi1g17335	bZIP
Bradi5g18680	HSF
Bradi2g05740	MYB
Bradi2g25900	Orphans
Bradi3g01910	bHLH
Bradi1g32660	NAC
Bradi1g69110	bHLH
Bradi1g14570	C2C2-Dof
Bradi2g18200	bHLH
Bradi3g51630	AP2-EREBP
Bradi3g42430	MYB
Bradi3g40030	SBP
Bradi4g41890	bZIP
Bradi3g13727	NAC
Bradi1g67350	AP2-EREBP
Bradi1g75420	C2C2-GATA
Bradi1g72457	AP2-EREBP
Bradi2g44270	WRKY
Bradi2g15847	AP2-EREBP
Bradi4g26470	NAC
Bradi1g13910	Homeobox
Bradi2g11260	bHLH
Bradi3g55430	MYB-related
Bradi3g33200	C2C2-GATA
Bradi3g07160	GRAS
Bradi2g33370	Orphans
Bradi4g31690	Homeobox
Bradi4g41277	MYB
Bradi2g50510	Homeobox
Bradi1g25390	CCAAT
Bradi2g55040	MYB
Bradi4g01380	CCAAT
Bradi3g21380	BBR/BPC
Bradi1g75760	Orphans
Bradi1g13680	CCAAT
Bradi2g53495	WRKY
Bradi2g35740	Orphans
Bradi1g23350	GRAS
Bradi1g48690	ABI3-VP1
Bradi1g51980	Homeobox
Bradi2g49760	Homeobox
Bradi4g32090	bZIP
Bradi4g34667	SBP
Bradi1g74890	E2F-DP
Bradi1g42440	bHLH
Bradi1g26720	SBP
Bradi4g17460	bHLH
Bradi4g02410	CPP
Bradi3g43710	HSF
Bradi1g21490	ZIM
Bradi2g07050	bHLH
Bradi1g43220	C2C2-CO-like
Bradi2g19130	Orphans
Bradi3g34200	bHLH
Bradi3g59820	Orphans
Bradi1g61620	HSF
Bradi4g33370	WRKY
Bradi2g25090	MADS
Bradi3g56940	ZIM
